schema_version,source_workbook,source_workbook_sha256,source_sheet,source_range,extraction_date,units,cell,formula_json,cached_value_json,cell_data_type
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Подбор прогонов 2,"A20,A27,U25:U26,U28",2026-09-16,steel grade,A20,null,"""М.п.350""",s
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Подбор прогонов 2,"A20,A27,U25:U26,U28",2026-09-16,steel grade,A27,null,"""М.п.390""",s
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Подбор прогонов 2,"A20,A27,U25:U26,U28",2026-09-16,steel grade,U25,"{""text"":""IF(M22>M29, A27,A20)"",""type"":null,""shared_index"":null,""ref"":null}","""М.п.350""",str
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Подбор прогонов 2,"A20,A27,U25:U26,U28",2026-09-16,steel grade,U26,"{""text"":""IF(M23>M30, A27,A20)"",""type"":null,""shared_index"":null,""ref"":null}","""М.п.390""",str
1.0.0,"Таблица по подбору сечений теплых ангаров пролетами 9м, 12м, 15м, 18м, 21м, 24м версия 1,5.xlsx",0271b96c6fe725d3e50ad7891401958322a5ae97866bb0bf8cb190bc4bbeff3f,Подбор прогонов 2,"A20,A27,U25:U26,U28",2026-09-16,steel grade,U28,"{""text"":""IF(T25=0, U26,U25)"",""type"":null,""shared_index"":null,""ref"":null}","""М.п.390""",str
