code;name_old;name_new;row_old;row_new;price_old;price_new;delta;pct;unit_old;unit_new;weight_old;weight_new;price_ton_old;price_ton_new;name_changed;unit_changed;weight_changed
83328;Кассета угловая 2 (УКФ2) 1,0 (Колор-поток с двух сторон);Кассета угловая 2 (УКФ2) 1,0 (Колор-поток с двух сторон);166;1084;2254.0;2439.0;185.0;0.08207630878438332;м2;м2;9.15;9.15;246339.0;266557.0;False;False;False
83336;Кассета фасадная 2 доборная (КФ2) 1,0 (Колор-поток с двух сторон);Кассета фасадная 2 доборная (КФ2) 1,0 (Колор-поток с двух сторон);218;1102;2254.0;2439.0;185.0;0.08207630878438332;м2;м2;9.15;9.15;246339.0;266557.0;False;False;False
105425;Профиль шляпный 20х50х20 (НПШ 20х50х20) 0,5 (Оцинк.);Профиль шляпный 20х50х20 (НПШ 20х50х20) 0,5 (Оцинк.);1314;481;61.0;66.0;5.0;0.08196721311475409;п.м;п.м;0.4474;0.4474;136343.0;147519.0;False;False;False
69264;"Панель фасадная ""1А"" (ПФ1А) (Колор-поток)";"Панель фасадная ""1А"" (ПФ1А) (Колор-поток)";868;1565;1111.0;1202.0;91.0;0.0819081908190819;м2;м2;4.34;4.34;255991.0;276959.0;False;False;False
69265;"Панель фасадная ""2А"" (ПФ2А) (Колор-поток)";"Панель фасадная ""2А"" (ПФ2А) (Колор-поток)";875;1569;1111.0;1202.0;91.0;0.0819081908190819;м2;м2;4.34;4.34;255991.0;276959.0;False;False;False
69266;"Панель фасадная ""3А"" (ПФ3А) (Колор-поток)";"Панель фасадная ""3А"" (ПФ3А) (Колор-поток)";882;1573;1111.0;1202.0;91.0;0.0819081908190819;м2;м2;4.34;4.34;255991.0;276959.0;False;False;False
83367;"Панель фасадная ""1А"" (ПФ1А) 0,7 (Колор-поток с двух сторон)";"Панель фасадная ""1А"" (ПФ1А) 0,7 (Колор-поток с двух сторон)";870;1566;1556.0;1683.0;127.0;0.08161953727506427;м2;м2;6.275;6.275;247968.0;268207.0;False;False;False
83369;"Панель фасадная ""2А"" (ПФ2А) 0,7 (Колор-поток с двух сторон)";"Панель фасадная ""2А"" (ПФ2А) 0,7 (Колор-поток с двух сторон)";877;1570;1556.0;1683.0;127.0;0.08161953727506427;м2;м2;6.275;6.275;247968.0;268207.0;False;False;False
83371;"Панель фасадная ""3А"" (ПФ3А) 0,7 (Колор-поток с двух сторон)";"Панель фасадная ""3А"" (ПФ3А) 0,7 (Колор-поток с двух сторон)";884;1574;1556.0;1683.0;127.0;0.08161953727506427;м2;м2;6.275;6.275;247968.0;268207.0;False;False;False
83366;"Панель фасадная ""1А"" (ПФ1А) (Колор-поток с двух сторон)";"Панель фасадная ""1А"" (ПФ1А) (Колор-поток с двух сторон)";867;1564;1316.0;1423.0;107.0;0.08130699088145897;м2;м2;4.34;4.34;303226.0;327880.0;False;False;False
83368;"Панель фасадная ""2А"" (ПФ2А) (Колор-поток с двух сторон)";"Панель фасадная ""2А"" (ПФ2А) (Колор-поток с двух сторон)";874;1568;1316.0;1423.0;107.0;0.08130699088145897;м2;м2;4.34;4.34;303226.0;327880.0;False;False;False
83370;"Панель фасадная ""3А"" (ПФ3А) (Колор-поток с двух сторон)";"Панель фасадная ""3А"" (ПФ3А) (Колор-поток с двух сторон)";881;1572;1316.0;1423.0;107.0;0.08130699088145897;м2;м2;4.34;4.34;303226.0;327880.0;False;False;False
